synset,word,Source
370,beneficial,R
371,busy,G
371,occupied,R
372,buy,G
372,purchase,R
373,idle,G
373,inactive,R
374,enough,G
374,sufficient,R
375,thoughtful,G
375,considerate,R
376,mourn,G
376,grieve,R
377,legible,G
377,readable,R
378,evil,G
378,malicious,R
379,warlike,G
379,militant,R
380,boring,G
380,tedious,R
380,uninteresting,R
380,dull,G
381,sight,G
381,vision,R
382,smell,G
382,odour,R
382,scent,R
383,meadow,G
383,pasture,R
384,deadly,G
384,mortal,R
385,tired,G
385,exhausted,R
386,chat,G
386,conversation,R
386,discussion,R
387,leader,G
387,chief,R
388,understand,G
388,comprehend,R
389,hurdle,G
389,obstacle,R
390,often,G
390,frequently,R
391,flawless,G
391,perfect,R
392,flaw,G
392,defect,R
393,unbounded,G
393,unlimited,R
394,early,G
394,premature,R
395,likely,G
395,probable,R
396,hopeful,G
396,optimistic,R
397,outstanding,G
397,extraordinary,R
398,lessen,G
398,reduce,R
399,unwilling,G
399,reluctant,R
400,withstand,G
400,resist,R
401,withdraw,G
401,retreat,R
402,same,G
402,identical,R
403,meaningful,G
403,significant,R
404,steady,G
404,stable,R
405,shake,G
405,quiver,G
405,quake,G
405,vibrate,R
405,tremble,R
406,peak,G
406,top,G
406,apex,R
406,pinnacle,R
406,summit,R
407,mug,G
407,rob,R
408,sealed,G
408,impermeable,R
409,barely,G
409,hardly,G
409,scarcely,R
410,childish,G
410,juvenile,R
410,immature,R
410,infantile,R
411,thread,G
411,string,G
411,cord,R
412,outline,G
412,contour,R
413,mislead,G
413,deceive,R
414,ache,G
414,pain,R
415,enlighten,G
415,illuminate,R
416,godlike,G
416,divine,R
417,holy,G
417,sacred,R
418,mumble,G
418,mutter,G
418,murmur,R
419,hue,G
419,tint,R
420,dye,G
420,color,R
420,colour,R
421,oath,G
421,vow,R
422,heaven,G
422,paradise,R
423,fairness,G
423,impartiality,R
424,outskirts,G
424,suburb,R
425,worldwide,G
425,global,R
426,almost,G
426,nearly,G
426,virtually,R
427,doable,G
427,possible,R
428,lake,G
428,lagoon,R
429,balcony,G
429,porch,R
430,kingly,G
430,royal,R
430,majestic,R
431,broth,G
431,soup,R
432,groundless,G
432,baseless,R
433,whore,G
433,prostitute,R
434,speed,G
434,velocity,R
435,beach,G
435,shore,R
435,coast,R
436,outsider,G
436,alien,R
437,squeeze,G
437,compress,R
438,plot,G
438,conspire,R
438,scheme,R
439,build,G
439,construct,R
440,careful,G
440,cautious,R
441,gifted,G
441,talented,R
442,shape,G
442,form,R
443,lean,G
443,rely,R
444,fight,G
444,battle,R
444,combat,R
445,lack,G
445,shortage,R
445,deficiency,G
445,insufficiency,R
446,dot,G
446,point,R
447,hug,G
447,embrace,R
448,timetable,G
448,schedule,R
449,now,G
449,nowadays,G
449,currently,R
449,presently,R
450,offer,G
450,proposal,R
451,manifold,G
451,diverse,R
452,puff,G
452,blow,G
452,exhale,R
453,straightforward,G
453,simple,R
454,baby,G
454,infant,R
455,ball,G
455,sphere,R
455,globe,R
456,feeling,G
456,emotion,R
457,thrill,G
457,excite,R
458,through,G
458,via,R
459,although,G
459,despite,R
460,trade,G
460,commerce,R
461,blockade,G
461,siege,R
462,ghost,G
462,spirit,R
463,alike,G
463,similar,R
463,resembling,R
464,shirt,G
464,blouse,R
465,spud,G
465,potato,R
466,guide,G
466,instructor,R
467,crowd,G
467,audience,R
468,worldly,G
468,mundane,R
469,riddle,G
469,enigma,R
470,shame,G
470,disgrace,R
471,heap,G
471,pile,R
472,twofold,G
472,dual,R
472,double,R
473,goods,G
473,merchandise,R
474,bewildered,G
474,confused,R
475,rocket,G
475,missile,R
476,bow,G
476,arc,R
477,unmind,G
477,overlook,G
477,ignore,R
477,disregard,R
478,spoken,G
478,oral,R
478,verbal,R
479,sink,G
479,submerge,R
