synset,word,Source,
190,divulge,Romance,
190,break,Germanic,
191,discrepancy,Romance,
191,disagreement,Romance,
191,variance,Romance,
192,disgrace,Romance,
192,demean,Germanic,
193,disgraceful,Romance,
193,scandalous,Romance,
193,shameful,Germanic,
194,disgraceful,Romance,
194,shameful,Germanic,
195,disgust,Romance,
195,repel,Romance,
196,disregard,Romance,
196,ignore,Romance,
197,distribute,Romance,
197,administer,Romance,
197,dispense,Romance,
198,dizzy,Germanic,
198,giddy,Germanic,
199,domesticate,Romance,
199,cultivate,Romance,
199,tame,Germanic,
200,dominate,Romance,
200,reign,Romance,
200,prevail,Romance,
201,doom,Germanic,
201,designate,Romance,
202,doorbell,Germanic,
202,bell,Germanic,
202,buzzer,onomatopoeic,
203,dot,Germanic,
203,dust,Germanic,
203,disperse,Romance,
204,dot,Germanic,
204,stud,Germanic,
205,downfall,Germanic,
205,ruin,Romance,
206,drag,Germanic,
206,trail,Romance,
207,dread,Germanic,
207,dreadful,Germanic,
207,fearful,Germanic,
207,frightening,Germanic,
207,horrendous,Romance,
208,drift,Germanic,
208,impetus,Romance,
209,drinkable,Germanic,"drink -Germanic, able- Romance"
209,potable,Romance,
210,drivel,Germanic,
210,dribble,Germanic,
211,dull,Germanic,
211,tedious,Romance,
212,duplicate,Romance,
212,repeat,Romance,
212,replicate,Romance,
213,dwell,Germanic,
213,consist,Romance,
213,lie,Germanic,
214,earnest,Germanic,
214,sincere,Romance,
214,solemn,Romance,
215,eccentric,Romance,
215,freakish,Germanic,
215,outlandish,Germanic,
216,ecstasy,Romance,
216,rapture,Romance,
217,educate,Romance,
217,cultivate,Romance,
217,civilize,Romance,
218,elderly,Germanic,
218,senior,Romance,
219,embrace,Romance,
219,encompass,Romance,
219,comprehend,Romance,
219,cover,Romance,
220,empiricism,Romance,
220,sensationalism,Romance,
221,encroach,Germanic,
221,infringe,Romance,
222,endless,Germanic,
222,eternal,Romance,
223,entice,Romance,
223,lure,Germanic,
223,tempt,Romance,
224,entrance,Germanic,
224,entry,Romance,
225,entrust,Germanic,
225,confide,Romance,
226,ephemeral,Romance,
226,transitory,Romance,
227,err,Romance,
227,slip,Germanic, old English but unknown origin *
228,erratic,Romance,
228,fickle,Germanic,
228,quicksilver,Germanic,
229,estimate,Romance,
229,gauge,Germanic,
229,approximate,Romance,
229,judge,Romance,
230,eternal,Romance,
230,everlasting,Germanic,
230,perpetual,Romance,
231,examine,Romance,
231,essay,Romance,
232,exceed,Romance,
232,outdo,Germanic,
232,outperform,Germanic,
233,execute,Romance,
233,fulfill,Germanic,
234,exhibit,Romance,
234,march,Germanic,
235,expedite,Romance,
235,hasten,Germanic,
236,express,Romance,
236,utter,Germanic,
237,extremity,Romance,
237,appendage,Romance,
238,fade,Romance,
238,melt,Germanic,
239,faithless,Romance,
239,unfaithful,Romance,
240,farce,Romance,
240,travesty,Romance,
241,fashion,Romance,
241,forge,Romance,
242,feasible,Romance,
242,workable,Germanic,
243,feast,Romance,
243,fiesta,Romance,
244,feces,Romance,
244,stool,Germanic,
245,feral,Romance,
245,savage,Romance,
246,ferocious,Romance,
246,savage,Romance,
247,fiend,Germanic,
247,devil,Greek,
247,demon,Romance,
248,filament,Romance,
248,strand,Germanic,
249,finger,Germanic,
249,thumb,Germanic,
250,firm,Romance,
250,steady,Germanic,
250,stiff,Germanic,
250,unwavering,Germanic,
251,fixation,Romance,
251,regression,Romance,
252,fleeting ,Germanic,
252,fugitive,Romance,
