Filename,username,country,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C, TTR, Mean word rank, Mean naming RT, AoA
sampled_alexmikli.Iceland.txt,alexmikli,Iceland,23733,953,3464,2751,1284,1363,861,587,2511,24.9035,18.4836,8.627,2.8867,2.6978,2.1425,0.4955,1.0615,1.3473,0.6706,0.4572,0.2134,1.9556,0.9128,0.323201293,2338.818755,608.7411877,5.380725386
sampled_Allyoucan3at.Germany.txt,Allyoucan3at,Germany,29894,907,4446,3439,1368,1725,954,616,3106,32.9592,21.8523,8.6926,3.7916,3.25,2.5139,0.5016,1.261,1.5083,0.6974,0.4503,0.1791,2.2705,0.9032,0.308951236,1989.987809,606.5665887,5.261606742
sampled_AluekomentajaArje.Finland.txt,AluekomentajaArje,Finland,28981,1030,4155,3094,1337,1516,918,436,3107,28.1369,21.6761,9.3668,3.0039,3.1077,2.3141,0.49,1.1339,1.2981,0.6866,0.3261,0.1409,2.3239,1.0042,0.303631532,2114.907174,606.3264164,5.273442726
sampled_Amanoo.Netherlands.txt,Amanoo,Netherlands,23651,999,3419,2636,1262,1312,832,430,2441,23.6747,18.7409,8.9723,2.6386,2.7092,2.0887,0.4977,1.0396,1.2633,0.6593,0.3407,0.1631,1.9342,0.926,0.307806814,2006.994046,606.4860809,5.315901036
sampled_amodia_x.Sweden.txt,amodia_x,Sweden,24794,998,4016,2974,1322,1493,892,594,2290,24.8437,18.7549,8.3369,2.98,3.0378,2.2496,0.502,1.1293,1.3246,0.6747,0.4493,0.1997,1.7322,0.77,0.280149685,1518.468787,603.1234617,5.007837116
sampled_amorpheus.Austria.txt,amorpheus,Austria,22906,980,3534,2681,1262,1350,892,359,2333,23.3735,18.1506,8.5438,2.7357,2.8003,2.1244,0.5035,1.0697,1.2878,0.7068,0.2845,0.1339,1.8487,0.8702,0.320985556,1977.474427,606.4190692,5.34254663
sampled_Ampersand55.Sweden.txt,Ampersand55,Sweden,24114,1008,3024,2288,1226,1000,659,472,2794,23.9226,19.6688,10.5393,2.2698,2.4666,1.8662,0.4371,0.8157,1.2163,0.5375,0.385,0.2063,2.279,1.2212,0.420663469,3223.978217,614.2058879,5.591951808
sampled_Amunium.Denmark.txt,Amunium,Denmark,26795,997,4271,3224,1396,1665,974,435,2754,26.8756,19.1941,8.3111,3.2337,3.0595,2.3095,0.5164,1.1927,1.4002,0.6977,0.3116,0.1349,1.9728,0.8542,0.291873396,1797.431822,604.9710578,5.223579639
sampled_AMViquel.Austria.txt,AMViquel,Austria,22209,837,3321,2411,1133,1104,722,463,2129,26.5341,19.6019,9.2115,2.8805,2.9312,2.128,0.4579,0.9744,1.3536,0.6372,0.4086,0.192,1.8791,0.883,0.339372822,2152.501568,604.451816,5.138221349
sampled_ananioperim.Finland.txt,ananioperim,Finland,28369,1006,3717,2800,1242,1441,783,627,3387,28.1998,22.8414,10.1318,2.7833,2.9928,2.2544,0.5146,1.1602,1.2346,0.6304,0.5048,0.2239,2.7271,1.2096,0.376268813,2954.112881,609.7535963,5.482337144
sampled_anarchistica.Netherlands.txt,anarchistica,Netherlands,22637,991,3124,2423,1218,1065,720,458,2434,22.8426,18.5854,9.3426,2.445,2.5649,1.9893,0.4395,0.8744,1.2291,0.5911,0.376,0.189,1.9984,1.0045,0.375273523,2688.383297,609.2907711,5.409123153
sampled_Andergard.Finland.txt,Andergard,Finland,31510,947,4344,3130,1369,1546,925,734,3571,33.2735,23.0168,10.0671,3.3052,3.1731,2.2863,0.4939,1.1293,1.4456,0.6757,0.5362,0.2345,2.6085,1.1409,0.367770915,2768.66779,611.2228869,5.475945815
sampled_AndNowIKnowWhy.Germany.txt,AndNowIKnowWhy,Germany,24973,966,3658,2584,1240,1246,797,629,2622,25.852,20.1395,9.6645,2.6749,2.95,2.0839,0.4822,1.0048,1.2836,0.6427,0.5073,0.2434,2.1145,1.0147,0.349480359,2024.715695,605.2632379,5.130101814
sampled_AndreasTPC.Sweden.txt,AndreasTPC,Sweden,25534,947,3951,2902,1249,1517,888,430,2561,26.963,20.4436,8.7988,3.0644,3.1633,2.3235,0.5227,1.2146,1.3189,0.711,0.3443,0.1482,2.0504,0.8825,0.304464136,1706.612439,603.666508,5.145270211
sampled_Angeldust01.Finland.txt,Angeldust01,Finland,24326,1062,3661,2786,1416,1270,903,538,2573,22.9058,17.1794,8.7315,2.6234,2.5855,1.9675,0.4559,0.8969,1.3333,0.6377,0.3799,0.1931,1.8171,0.9235,0.326187101,1869.547307,604.3409752,5.211788504
sampled_AngryArmour.Denmark.txt,AngryArmour,Denmark,27948,978,4147,3073,1252,1687,930,592,3135,28.5767,22.3227,9.0947,3.1421,3.3123,2.4545,0.549,1.3474,1.2802,0.7428,0.4728,0.1926,2.504,1.0202,0.35768262,2677.420655,610.3280713,5.468866317
sampled_anguishCAKE.Norway.txt,anguishCAKE,Norway,12812,446,1939,1489,574,822,431,279,1297,28.7265,22.3206,8.6044,3.3386,3.378,2.5941,0.552,1.4321,1.287,0.7509,0.4861,0.1874,2.2596,0.8711,0.308891776,2085.424726,604.3233548,5.24790886
sampled_anlumo.Austria.txt,anlumo,Austria,23754,989,3398,2572,1290,1171,785,331,2485,24.0182,18.414,9.2356,2.6006,2.6341,1.9938,0.4553,0.9078,1.3043,0.6085,0.2566,0.1287,1.9264,0.9662,0.322422545,2157.17959,606.7517525,5.310938734
sampled_anonymepelle.Norway.txt,anonymepelle,Norway,26460,988,3995,2995,1243,1524,903,500,2739,26.7814,21.2872,8.8347,3.0314,3.214,2.4095,0.5088,1.2261,1.2581,0.7265,0.4023,0.1669,2.2035,0.9145,0.299410029,1779.600295,605.6151567,5.326512694
sampled_anonypanda.Finland.txt,anonypanda,Finland,23186,968,3279,2366,1190,1127,758,465,2450,23.9525,19.484,9.7997,2.4442,2.7555,1.9882,0.4763,0.9471,1.2293,0.637,0.3908,0.1965,2.0588,1.0355,0.290510949,1976.13382,606.3326254,5.374868793
sampled_AnswerMeNow1.Finland.txt,AnswerMeNow1,Finland,10113,393,1263,871,480,345,230,212,1066,25.7328,21.0688,11.6108,2.2163,2.6313,1.8146,0.3961,0.7188,1.2214,0.4792,0.4417,0.2434,2.2208,1.2239,0.354380721,3182.818606,611.959001,5.579348832
sampled_AntiChr1st.Norway.txt,AntiChr1st,Norway,26445,971,4299,3233,1292,1638,896,436,2777,27.2348,20.4683,8.1797,3.3296,3.3274,2.5023,0.5067,1.2678,1.3306,0.6935,0.3375,0.1349,2.1494,0.859,0.317738469,1952.042982,606.7834372,5.203451071
sampled_Antigonus1i.Netherlands.txt,Antigonus1i,Netherlands,21554,997,3522,2698,1250,1366,880,418,2348,21.6189,17.2432,7.9889,2.7061,2.8176,2.1584,0.5063,1.0928,1.2538,0.704,0.3344,0.1549,1.8784,0.8703,0.311526996,1938.957271,605.7621053,5.22495254
sampled_Antiochia.Austria.txt,Antiochia,Austria,25631,976,3745,2667,1327,1272,875,537,2550,26.2613,19.315,9.6104,2.7326,2.8222,2.0098,0.4769,0.9586,1.3596,0.6594,0.4047,0.2013,1.9216,0.9561,0.315507152,1870.111183,603.6408373,5.099645328
sampled_Antonskarp.Norway.txt,Antonskarp,Norway,21962,1007,3335,2543,1284,1203,854,318,2227,21.8093,17.1044,8.6363,2.5253,2.5974,1.9805,0.4731,0.9369,1.2751,0.6651,0.2477,0.125,1.7344,0.8757,0.341808385,1968.984341,605.106169,5.178141805
sampled_Anubissama.Germany.txt,Anubissama,Germany,30520,960,4332,3238,1247,1742,886,605,3446,31.7917,24.4747,9.4256,3.3729,3.4739,2.5966,0.538,1.397,1.299,0.7105,0.4852,0.1868,2.7634,1.0642,0.343490305,2401.427082,607.8038508,5.304571177
sampled_AoRaJohnJohn.Denmark.txt,AoRaJohnJohn,Denmark,23205,978,3619,2725,1340,1288,885,420,2202,23.727,17.3172,8.5156,2.7863,2.7007,2.0336,0.4727,0.9612,1.3701,0.6604,0.3134,0.1541,1.6433,0.8081,0.290397737,1754.576801,604.4380032,5.189355591
sampled_APFSDS-T.Finland.txt,APFSDS-T,Finland,25069,996,3693,2822,1343,1348,888,431,2651,25.1697,18.6664,8.8834,2.8333,2.7498,2.1013,0.4777,1.0037,1.3484,0.6612,0.3209,0.1527,1.9739,0.9394,0.32065659,2343.877621,606.2892698,5.211335266
sampled_aphexmoon.Germany.txt,aphexmoon,Germany,24526,683,3564,2638,940,1410,656,497,2572,35.9092,26.0915,9.2972,3.8624,3.7915,2.8064,0.5345,1.5,1.3763,0.6979,0.5287,0.1884,2.7362,0.975,0.315648536,1756.130377,602.6419795,5.154800837
sampled_Apoc2K.Netherlands.txt,Apoc2K,Netherlands,23551,999,3433,2408,1157,1159,739,497,2563,23.5746,20.3552,9.7803,2.4104,2.9672,2.0812,0.4813,1.0017,1.1582,0.6387,0.4296,0.2064,2.2152,1.0644,0.390300231,2670.326523,609.5729222,5.362715457
sampled_ApocalypseOwl.Denmark.txt,ApocalypseOwl,Denmark,26238,999,3538,2593,1281,1138,770,727,2851,26.2643,20.4824,10.1188,2.5956,2.7619,2.0242,0.4389,0.8884,1.2823,0.6011,0.5675,0.2804,2.2256,1.0995,0.365837142,2653.664974,607.8716016,5.246507444
sampled_Apostrophe.Finland.txt,Apostrophe,Finland,22985,970,3325,2427,1236,1124,752,473,2584,23.6959,18.5963,9.4705,2.5021,2.6901,1.9636,0.4631,0.9094,1.2742,0.6084,0.3827,0.1949,2.0906,1.0647,0.345679012,2320.328875,607.7072675,5.363543336
sampled_aqswdefrgthzjukilo.Germany.txt,aqswdefrgthzjukilo,Germany,22936,984,3528,2631,1194,1309,797,360,2320,23.3089,19.2094,8.7176,2.6738,2.9548,2.2035,0.4975,1.0963,1.2134,0.6675,0.3015,0.1368,1.943,0.8818,0.310803523,1780.31314,604.1659885,5.193430373
sampled_Arctorkovich.Netherlands.txt,Arctorkovich,Netherlands,23560,989,3521,2545,1192,1264,772,550,2441,23.822,19.7651,9.2574,2.5733,2.9539,2.1351,0.4967,1.0604,1.2053,0.6477,0.4614,0.2161,2.0478,0.9591,0.353786992,2250.10433,606.5382527,5.369280532
sampled_Argyrius.Netherlands.txt,Argyrius,Netherlands,25985,811,3645,2914,1207,1409,819,418,2935,32.0407,21.5286,8.9173,3.5931,3.0199,2.4143,0.4835,1.1674,1.4883,0.6785,0.3463,0.1434,2.4316,1.0072,0.296333501,1814.892014,605.9821645,5.083263762
sampled_arienh4.Netherlands.txt,arienh4,Netherlands,22594,999,3656,2764,1246,1411,864,314,2360,22.6166,18.1332,8.1744,2.7668,2.9342,2.2183,0.5105,1.1324,1.2472,0.6934,0.252,0.1136,1.8941,0.8538,0.322128852,2050.221989,606.7115852,5.322326465
sampled_armiechedon.Sweden.txt,armiechedon,Sweden,22668,906,3568,2659,1133,1336,762,491,2346,25.0199,20.0071,8.525,2.9349,3.1492,2.3469,0.5024,1.1792,1.2506,0.6726,0.4334,0.1847,2.0706,0.8823,0.285690599,1722.632233,602.9802622,5.1939234
sampled_arnar202.Iceland.txt,arnar202,Iceland,25341,1080,4140,3053,1457,1406,910,425,2459,23.4639,17.3926,8.3004,2.8269,2.8415,2.0954,0.4605,0.965,1.3491,0.6246,0.2917,0.1392,1.6877,0.8054,0.313269975,1791.94245,603.9725094,5.040953478
sampled_Arquinas.Finland.txt,Arquinas,Finland,23054,907,3420,2457,1174,1175,741,513,2468,25.4179,19.6371,9.383,2.7089,2.9131,2.0928,0.4782,1.0009,1.2944,0.6312,0.437,0.2088,2.1022,1.0045,0.335041322,2063.920826,605.0760476,5.258891192
sampled_ArttuH5N1.Finland.txt,ArttuH5N1,Finland,22803,963,3623,2746,1203,1371,810,469,2412,23.6791,18.9551,8.3041,2.8515,3.0116,2.2826,0.4993,1.1397,1.2492,0.6733,0.3899,0.1708,2.005,0.8784,0.307189542,1790.642243,604.864127,5.127110638
sampled_Arve.Norway.txt,Arve,Norway,28710,918,3918,2843,1263,1441,862,552,3297,31.2745,22.7316,10.0985,3.0969,3.1021,2.251,0.5069,1.1409,1.3758,0.6825,0.4371,0.1942,2.6105,1.1597,0.298156849,2411.735454,608.4763668,5.484269775
sampled_Aryanenzo.Germany.txt,Aryanenzo,Germany,24743,977,3522,2750,1319,1160,792,571,2382,25.3255,18.7589,8.9975,2.8147,2.6702,2.0849,0.4218,0.8795,1.3501,0.6005,0.4329,0.2076,1.8059,0.8662,0.31741619,2261.910057,605.3836676,5.190721973
sampled_aryary.Netherlands.txt,aryary,Netherlands,21379,961,3286,2530,1248,1153,763,428,2013,22.2466,17.1306,8.4502,2.6327,2.633,2.0272,0.4557,0.9239,1.2986,0.6114,0.3429,0.1692,1.613,0.7957,0.283371914,1862.74267,603.2626248,5.156218729
sampled_Aschebescher.Germany.txt,Aschebescher,Germany,22291,985,3264,2442,1219,1143,759,443,2407,22.6305,18.2863,9.1282,2.4792,2.6776,2.0033,0.4681,0.9377,1.2376,0.6226,0.3634,0.1814,1.9746,0.9857,0.299467994,1832.998455,602.9652976,5.228886224
sampled_AsnSensation.Germany.txt,AsnSensation,Germany,25211,868,3634,2783,1118,1487,799,531,2709,29.0449,22.5501,9.0589,3.2062,3.2504,2.4893,0.5343,1.3301,1.288,0.7147,0.475,0.1908,2.4231,0.9734,0.308641975,1652.896396,604.3483653,5.193223556
sampled_AspiringgMage.Netherlands.txt,AspiringgMage,Netherlands,23329,993,3529,2514,1185,1256,786,527,2430,23.4935,19.6869,9.2796,2.5317,2.9781,2.1215,0.4996,1.0599,1.1934,0.6633,0.4447,0.2096,2.0506,0.9666,0.316571043,2132.837496,606.725984,5.300151429
sampled_Assupoika.Finland.txt,Assupoika,Finland,24130,978,3674,2778,1279,1309,865,458,2302,24.6728,18.8663,8.6861,2.8405,2.8726,2.172,0.4712,1.0235,1.3078,0.6763,0.3581,0.1649,1.7998,0.8287,0.29381949,1976.079137,603.5189125,5.163942262
sampled_Asterix1806.Finland.txt,Asterix1806,Finland,7436,309,1106,851,408,420,270,127,788,24.0647,18.2255,8.738,2.754,2.7108,2.0858,0.4935,1.0294,1.3204,0.6618,0.3113,0.1492,1.9314,0.926,0.334015345,1978.387553,606.1471133,5.225431189
sampled_Astrogator.Germany.txt,Astrogator,Germany,30303,986,3643,2781,1332,1265,803,764,3586,30.7333,22.75,10.8964,2.8205,2.735,2.0878,0.4549,0.9497,1.3509,0.6029,0.5736,0.2747,2.6922,1.2895,0.36174559,2930.345961,611.4531319,5.390584347
sampled_Asyx.Germany.txt,Asyx,Germany,26383,976,3852,3088,1280,1629,911,561,2753,27.0318,20.6117,8.5437,3.1639,3.0094,2.4125,0.5275,1.2727,1.3115,0.7117,0.4383,0.1817,2.1508,0.8915,0.286137148,1808.135504,603.3416868,5.153381483
sampled_Atanar.Germany.txt,Atanar,Germany,24155,994,3595,2747,1223,1364,820,363,2809,24.3008,19.7506,8.7932,2.7636,2.9395,2.2461,0.4965,1.1153,1.2304,0.6705,0.2968,0.1321,2.2968,1.0226,0.349246231,2454.095118,607.7082642,5.403271132
